processid,class,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,country,realm,label
GBMNC61741-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Selasia,NA,Selasia arabica,NA,NA,NA,GBMNC61741-20_Elateridae_Agrypninae_Drilini_Selasia_arabica_NA
GBMNC61743-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Mashaselasia,NA,Mashaselasia aethiopica,NA,NA,NA,GBMNC61743-20_Elateridae_Agrypninae_Drilini_Mashaselasia_aethiopica_NA
GBMNC61745-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Latoselasia,NA,Latoselasia similis,NA,NA,NA,GBMNC61745-20_Elateridae_Agrypninae_Drilini_Latoselasia_similis_NA
GBMNC61746-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Latoselasia,NA,Latoselasia similis,NA,NA,NA,GBMNC61746-20_Elateridae_Agrypninae_Drilini_Latoselasia_similis_NA
GBMNC61749-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Wittmerselasia,NA,Wittmerselasia sp. A RK-2020,NA,NA,NA,GBMNC61749-20_Elateridae_Agrypninae_Drilini_Wittmerselasia_sp._A_RK-2020_NA
GBMNC61751-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Wittmerselasia,NA,Wittmerselasia variabilis,NA,NA,NA,GBMNC61751-20_Elateridae_Agrypninae_Drilini_Wittmerselasia_variabilis_NA
GBMNC61752-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Wittmerselasia,NA,Wittmerselasia variabilis,NA,NA,NA,GBMNC61752-20_Elateridae_Agrypninae_Drilini_Wittmerselasia_variabilis_NA
GBMNC61755-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Wittmerselasia,NA,Wittmerselasia camerooniana,NA,NA,NA,GBMNC61755-20_Elateridae_Agrypninae_Drilini_Wittmerselasia_camerooniana_NA
GBMNC61757-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Habeshaselasia,NA,Habeshaselasia illubaborensis,NA,NA,NA,GBMNC61757-20_Elateridae_Agrypninae_Drilini_Habeshaselasia_illubaborensis_NA
GBMNC61759-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Illubaboria,NA,Illubaboria bicolor,NA,NA,NA,GBMNC61759-20_Elateridae_Agrypninae_Drilini_Illubaboria_bicolor_NA
GBMNC61760-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Illubaboria,NA,Illubaboria bicolor,NA,NA,NA,GBMNC61760-20_Elateridae_Agrypninae_Drilini_Illubaboria_bicolor_NA
GBMNC61763-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Habeshaselasia,NA,Habeshaselasia nekemtensis,NA,NA,NA,GBMNC61763-20_Elateridae_Agrypninae_Drilini_Habeshaselasia_nekemtensis_NA
GBMNC61765-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Austroselasia,NA,Austroselasia sp. C RK-2020,NA,NA,NA,GBMNC61765-20_Elateridae_Agrypninae_Drilini_Austroselasia_sp._C_RK-2020_NA
GBMNC61767-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Austroselasia,NA,Austroselasia sp. B RK-2020,NA,NA,NA,GBMNC61767-20_Elateridae_Agrypninae_Drilini_Austroselasia_sp._B_RK-2020_NA
GBMNC61769-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Austroselasia,NA,Austroselasia sp. A RK-2020,NA,NA,NA,GBMNC61769-20_Elateridae_Agrypninae_Drilini_Austroselasia_sp._A_RK-2020_NA
GBMNC61770-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Austroselasia,NA,Austroselasia sp. A RK-2020,NA,NA,NA,GBMNC61770-20_Elateridae_Agrypninae_Drilini_Austroselasia_sp._A_RK-2020_NA
GBMNC61773-20,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Austroselasia,NA,Austroselasia pulchra,NA,NA,NA,GBMNC61773-20_Elateridae_Agrypninae_Drilini_Austroselasia_pulchra_NA
GCEP5752-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Ghana,Afrotropic,GCEP5752-22_Elateridae_Agrypninae_Drilini_NA_Ghana
GMBCD2804-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Bangladesh,Indomalayan,GMBCD2804-15_Elateridae_Agrypninae_Drilini_NA_Bangladesh
GMGKA4766-21,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Drilus,NA,NA,NA,Georgia,Palearctic,GMGKA4766-21_Elateridae_Agrypninae_Drilini_Drilus_Georgia
GMGKA6282-21,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Drilus,NA,NA,NA,Georgia,Palearctic,GMGKA6282-21_Elateridae_Agrypninae_Drilini_Drilus_Georgia
GMKKB194-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Kenya,Afrotropic,GMKKB194-15_Elateridae_Agrypninae_Drilini_NA_Kenya
GMKKC555-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Kenya,Afrotropic,GMKKC555-15_Elateridae_Agrypninae_Drilini_NA_Kenya
GMKKF321-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Kenya,Afrotropic,GMKKF321-15_Elateridae_Agrypninae_Drilini_NA_Kenya
GMKKH386-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Kenya,Afrotropic,GMKKH386-15_Elateridae_Agrypninae_Drilini_NA_Kenya
GMKKT109-18,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Kenya,Afrotropic,GMKKT109-18_Elateridae_Agrypninae_Drilini_NA_Kenya
KCOLE3389-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Kenya,Afrotropic,KCOLE3389-13_Elateridae_Agrypninae_Drilini_NA_Kenya
KMPMN147-19,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,Selasia,NA,NA,NA,South Africa,Afrotropic,KMPMN147-19_Elateridae_Agrypninae_Drilini_Selasia_South_Africa
KMPQP385-19,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,South Africa,Afrotropic,KMPQP385-19_Elateridae_Agrypninae_Drilini_NA_South_Africa
KMPRX015-19,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,South Africa,Afrotropic,KMPRX015-19_Elateridae_Agrypninae_Drilini_NA_South_Africa
KMPUA079-18,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,South Africa,Afrotropic,KMPUA079-18_Elateridae_Agrypninae_Drilini_NA_South_Africa
KMPXM094-19,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,South Africa,Afrotropic,KMPXM094-19_Elateridae_Agrypninae_Drilini_NA_South_Africa
TMGHA16032-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Ghana,Afrotropic,TMGHA16032-22_Elateridae_Agrypninae_Drilini_NA_Ghana
TMGHA17011-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Ghana,Afrotropic,TMGHA17011-22_Elateridae_Agrypninae_Drilini_NA_Ghana
TMGHA26014-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Ghana,Afrotropic,TMGHA26014-22_Elateridae_Agrypninae_Drilini_NA_Ghana
TMGHA3364-21,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Ghana,Afrotropic,TMGHA3364-21_Elateridae_Agrypninae_Drilini_NA_Ghana
TMGHA40980-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Agrypninae,Drilini,NA,NA,NA,NA,NA,Ghana,Afrotropic,TMGHA40980-22_Elateridae_Agrypninae_Drilini_NA_Ghana
SICOG221-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterinae_incertae_sedis,NA,Eopenthes,NA,Eopenthes marginatus,NA,United States,Nearctic,SICOG221-22_Elateridae_Elaterinae_Elaterinae_incertae_sedis_Eopenthes_marginatus_United_States
BIOD01646,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Elaterini,Elaterina,Mulsanteus,NA,NA,NA,Malaysia,Indomalayan,BIOD01646_Elateridae_Elaterinae_Elaterini_Mulsanteus_Malaysia
GBDL01517,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus brunneus,NA,NA,NA,GBDL01517_Elateridae_Elaterinae_Elaterini_Sericus_brunneus_NA
GBDL02274,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Elaterini,Elaterina,Ludioschema,NA,Ludioschema sulcicolle,NA,China,Palearctic,GBDL02274_Elateridae_Elaterinae_Elaterini_Ludioschema_sulcicolle_China
GBDL02331,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Elaterini,Elaterina,Ludioschema,NA,Ludioschema vittiger,NA,China,Palearctic,GBDL02331_Elateridae_Elaterinae_Elaterini_Ludioschema_vittiger_China
ASSCR5056-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Diplostethus,NA,NA,NA,Costa Rica,Panamanian,ASSCR5056-12_Elateridae_Elaterinae_Elaterini_Diplostethus_Costa_Rica
ASSCR5094-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Orthostethus,NA,Orthostethus corvinusAS1,NA,Costa Rica,Panamanian,ASSCR5094-12_Elateridae_Elaterinae_Elaterini_Orthostethus_corvinusAS1_Costa_Rica
ASSCR5095-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Orthostethus,NA,Orthostethus corvinusAS2,NA,Costa Rica,Panamanian,ASSCR5095-12_Elateridae_Elaterinae_Elaterini_Orthostethus_corvinusAS2_Costa_Rica
ASSCR5143-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Tomicephalus,NA,Tomicephalus bicolor,NA,Costa Rica,Panamanian,ASSCR5143-12_Elateridae_Elaterinae_Elaterini_Tomicephalus_bicolor_Costa_Rica
ASSCR5147-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Tomicephalus,NA,Tomicephalus insignis,NA,Costa Rica,Panamanian,ASSCR5147-12_Elateridae_Elaterinae_Elaterini_Tomicephalus_insignis_Costa_Rica
ASSCR5225-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Hypodesis,NA,Hypodesis punctataAS1,NA,Costa Rica,Panamanian,ASSCR5225-12_Elateridae_Elaterinae_Elaterini_Hypodesis_punctataAS1_Costa_Rica
ASSCR5229-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Hypodesis,NA,Hypodesis vittataAS1,NA,Costa Rica,Panamanian,ASSCR5229-12_Elateridae_Elaterinae_Elaterini_Hypodesis_vittataAS1_Costa_Rica
BBCCA1814-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Orthostethus,NA,Orthostethus infuscatus,NA,United States,Nearctic,BBCCA1814-12_Elateridae_Elaterinae_Elaterini_Orthostethus_infuscatus_United_States
BBCCA1842-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Diplostethus,NA,Diplostethus opacicollis,NA,United States,Nearctic,BBCCA1842-12_Elateridae_Elaterinae_Elaterini_Diplostethus_opacicollis_United_States
BBCCA1853-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Mulsanteus,NA,Mulsanteus texanus,NA,United States,Nearctic,BBCCA1853-12_Elateridae_Elaterinae_Elaterini_Mulsanteus_texanus_United_States
BBCCA1858-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Mulsanteus,NA,Mulsanteus carolinensis,NA,United States,Nearctic,BBCCA1858-12_Elateridae_Elaterinae_Elaterini_Mulsanteus_carolinensis_United_States
BBCCA1876-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Mulsanteus,NA,NA,NA,United States,Nearctic,BBCCA1876-12_Elateridae_Elaterinae_Elaterini_Mulsanteus_United_States
CISSA44819-23,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus debilis,NA,United States,Nearctic,CISSA44819-23_Elateridae_Elaterinae_Elaterini_Sericus_debilis_United_States
CISSA48771-23,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Elater,NA,Elater lecontei,NA,United States,Nearctic,CISSA48771-23_Elateridae_Elaterinae_Elaterini_Elater_lecontei_United_States
CNCCD1508-11,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus viridanus,NA,Canada,Nearctic,CNCCD1508-11_Elateridae_Elaterinae_Elaterini_Sericus_viridanus_Canada
CNCCE654-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Elater,NA,Elater abruptus,NA,Canada,Nearctic,CNCCE654-12_Elateridae_Elaterinae_Elaterini_Elater_abruptus_Canada
CNCCF790-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Orthostethus,NA,NA,NA,United States,Nearctic,CNCCF790-12_Elateridae_Elaterinae_Elaterini_Orthostethus_United_States
CNCCF792-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Orthostethus,NA,NA,NA,United States,Nearctic,CNCCF792-12_Elateridae_Elaterinae_Elaterini_Orthostethus_United_States
CNCCF798-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Mulsanteus,NA,Mulsanteus substriatus,NA,United States,Nearctic,CNCCF798-12_Elateridae_Elaterinae_Elaterini_Mulsanteus_substriatus_United_States
CNCCF799-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Mulsanteus,NA,Mulsanteus substriatus,NA,United States,Nearctic,CNCCF799-12_Elateridae_Elaterinae_Elaterini_Mulsanteus_substriatus_United_States
CNCCF803-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Diplostethus,NA,Diplostethus peninsularis,NA,United States,Nearctic,CNCCF803-12_Elateridae_Elaterinae_Elaterini_Diplostethus_peninsularis_United_States
CNCCF813-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus incongruus,NA,Canada,Nearctic,CNCCF813-12_Elateridae_Elaterinae_Elaterini_Sericus_incongruus_Canada
CNCCF814-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus honestus,NA,Canada,Nearctic,CNCCF814-12_Elateridae_Elaterinae_Elaterini_Sericus_honestus_Canada
CNCCH1799-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus debilis,NA,United States,Nearctic,CNCCH1799-12_Elateridae_Elaterinae_Elaterini_Sericus_debilis_United_States
CNGBK149-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus viridanus,NA,Canada,Nearctic,CNGBK149-14_Elateridae_Elaterinae_Elaterini_Sericus_viridanus_Canada
CRALC32073-21,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Hypodesis,NA,Hypodesis auricoma,NA,Costa Rica,Panamanian,CRALC32073-21_Elateridae_Elaterinae_Elaterini_Hypodesis_auricoma_Costa_Rica
CRHTA1313-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Hypodesis,NA,Hypodesis auricoma,NA,Costa Rica,Panamanian,CRHTA1313-22_Elateridae_Elaterinae_Elaterini_Hypodesis_auricoma_Costa_Rica
CRLDB4380-24,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Hypodesis,NA,Hypodesis auricoma,NA,Costa Rica,Panamanian,CRLDB4380-24_Elateridae_Elaterinae_Elaterini_Hypodesis_auricoma_Costa_Rica
ELAT030-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Diplostethus,NA,Diplostethus meridanus,NA,Mexico,Panamanian,ELAT030-12_Elateridae_Elaterinae_Elaterini_Diplostethus_meridanus_Mexico
ELPCG10380-17,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Elater,NA,Elater abruptus,NA,Canada,Nearctic,ELPCG10380-17_Elateridae_Elaterinae_Elaterini_Elater_abruptus_Canada
EMMAS14748-23,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Tomicephalus,NA,NA,NA,Ecuador,Neotropic,EMMAS14748-23_Elateridae_Elaterinae_Elaterini_Tomicephalus_Ecuador
GBCL17543-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Elater,NA,Elater ruficollis,NA,Chile,Neotropic,GBCL17543-14_Elateridae_Elaterinae_Elaterini_Elater_ruficollis_Chile
GBCL17589-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Elater,NA,Elater ferrugineus,NA,Czechia,Palearctic,GBCL17589-14_Elateridae_Elaterinae_Elaterini_Elater_ferrugineus_Czechia
GBCL18395-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Elater,NA,Elater solskyi,NA,South Korea,Palearctic,GBCL18395-14_Elateridae_Elaterinae_Elaterini_Elater_solskyi_South_Korea
GBCL18404-14,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Ludioschema,NA,Ludioschema vittiger,NA,South Korea,Palearctic,GBCL18404-14_Elateridae_Elaterinae_Elaterini_Ludioschema_vittiger_South_Korea
GBMNF54078-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Nipponoelater,NA,Nipponoelater sieboldi,NA,NA,NA,GBMNF54078-22_Elateridae_Elaterinae_Elaterini_Nipponoelater_sieboldi_NA
GMACU1179-15,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Hypodesis,NA,Hypodesis vittataAS2,NA,Costa Rica,Panamanian,GMACU1179-15_Elateridae_Elaterinae_Elaterini_Hypodesis_vittataAS2_Costa_Rica
GMGSK110-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus viridanus,NA,United States,Nearctic,GMGSK110-12_Elateridae_Elaterinae_Elaterini_Sericus_viridanus_United_States
GMNGA137-16,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Mulsanteus,NA,Mulsanteus erubescens,NA,Papua New Guinea,Oceanian,GMNGA137-16_Elateridae_Elaterinae_Elaterini_Mulsanteus_erubescens_Papua_New_Guinea
GMPAB020-18,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Hypodesis,NA,NA,NA,Panama,Panamanian,GMPAB020-18_Elateridae_Elaterinae_Elaterini_Hypodesis_Panama
JEBP252-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Dolerosomus,NA,Dolerosomus gracilis,NA,Japan,Sino-Japanese,JEBP252-13_Elateridae_Elaterinae_Elaterini_Dolerosomus_gracilis_Japan
JEBP256-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Dolerosomus,NA,Dolerosomus gracilis,NA,Japan,Sino-Japanese,JEBP256-13_Elateridae_Elaterinae_Elaterini_Dolerosomus_gracilis_Japan
JEBP257-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Dolerosomus,NA,Dolerosomus gracilis,NA,Japan,Sino-Japanese,JEBP257-13_Elateridae_Elaterinae_Elaterini_Dolerosomus_gracilis_Japan
JEBP445-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Ludioschema,NA,Ludioschema akashii,NA,Japan,Sino-Japanese,JEBP445-13_Elateridae_Elaterinae_Elaterini_Ludioschema_akashii_Japan
JEBP462-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Ludioschema,NA,Ludioschema okinawensis,NA,Japan,Sino-Japanese,JEBP462-13_Elateridae_Elaterinae_Elaterini_Ludioschema_okinawensis_Japan
JEBP472-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Ludioschema,NA,Ludioschema vittiger,NA,Japan,Sino-Japanese,JEBP472-13_Elateridae_Elaterinae_Elaterini_Ludioschema_vittiger_Japan
JEBP521-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Mulsanteus,NA,Mulsanteus junior,NA,Japan,Sino-Japanese,JEBP521-13_Elateridae_Elaterinae_Elaterini_Mulsanteus_junior_Japan
JEBP578-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Nipponoelater,NA,Nipponoelater amami,NA,Japan,Sino-Japanese,JEBP578-13_Elateridae_Elaterinae_Elaterini_Nipponoelater_amami_Japan
JEBP580-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Nipponoelater,NA,Nipponoelater babai,NA,Japan,Sino-Japanese,JEBP580-13_Elateridae_Elaterinae_Elaterini_Nipponoelater_babai_Japan
JEBP581-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Nipponoelater,NA,Nipponoelater babai,NA,Japan,Sino-Japanese,JEBP581-13_Elateridae_Elaterinae_Elaterini_Nipponoelater_babai_Japan
JEBP582-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Nipponoelater,NA,Nipponoelater kometsuki,NA,Japan,Sino-Japanese,JEBP582-13_Elateridae_Elaterinae_Elaterini_Nipponoelater_kometsuki_Japan
JEBP700-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Parallelostethus,NA,Parallelostethus sakishimensis,NA,Japan,Sino-Japanese,JEBP700-13_Elateridae_Elaterinae_Elaterini_Parallelostethus_sakishimensis_Japan
JEBP725-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus bifoveolatus,NA,Japan,Sino-Japanese,JEBP725-13_Elateridae_Elaterinae_Elaterini_Sericus_bifoveolatus_Japan
JEBP726-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus bifoveolatus,NA,Japan,Sino-Japanese,JEBP726-13_Elateridae_Elaterinae_Elaterini_Sericus_bifoveolatus_Japan
JEBP747-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Vuilletus,NA,Vuilletus crebrepunctatus,NA,Japan,Sino-Japanese,JEBP747-13_Elateridae_Elaterinae_Elaterini_Vuilletus_crebrepunctatus_Japan
JEBP748-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Vuilletus,NA,Vuilletus crebrepunctatus,NA,Japan,Sino-Japanese,JEBP748-13_Elateridae_Elaterinae_Elaterini_Vuilletus_crebrepunctatus_Japan
JEBP749-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Vuilletus,NA,Vuilletus viridis,NA,Japan,Sino-Japanese,JEBP749-13_Elateridae_Elaterinae_Elaterini_Vuilletus_viridis_Japan
JEBP751-13,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Vuilletus,NA,Vuilletus viridis,NA,Japan,Sino-Japanese,JEBP751-13_Elateridae_Elaterinae_Elaterini_Vuilletus_viridis_Japan
OPPMQ004-17,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Parallelostethus,NA,NA,NA,Canada,Nearctic,OPPMQ004-17_Elateridae_Elaterinae_Elaterini_Parallelostethus_Canada
PLGBB010-19,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Orthostethus,NA,NA,NA,Costa Rica,Panamanian,PLGBB010-19_Elateridae_Elaterinae_Elaterini_Orthostethus_Costa_Rica
SICOG232-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Somomecus,NA,Somomecus parallelus,NA,Chile,Neotropic,SICOG232-22_Elateridae_Elaterinae_Elaterini_Somomecus_parallelus_Chile
SICOG236-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Tomicephalus,NA,Tomicephalus bicolor,NA,Honduras,Panamanian,SICOG236-22_Elateridae_Elaterinae_Elaterini_Tomicephalus_bicolor_Honduras
SICOG237-22,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Tomicephalus,NA,NA,NA,Costa Rica,Panamanian,SICOG237-22_Elateridae_Elaterinae_Elaterini_Tomicephalus_Costa_Rica
TTCFW864-08,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Parallelostethus,NA,Parallelostethus attenuatus,NA,Canada,Nearctic,TTCFW864-08_Elateridae_Elaterinae_Elaterini_Parallelostethus_attenuatus_Canada
USCOB081-09,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Dolerosomus,NA,Dolerosomus silaceus,NA,United States,Nearctic,USCOB081-09_Elateridae_Elaterinae_Elaterini_Dolerosomus_silaceus_United_States
ZMBN2005-21,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Elaterini,NA,Sericus,NA,Sericus brunneus,NA,Norway,Palearctic,ZMBN2005-21_Elateridae_Elaterinae_Elaterini_Sericus_brunneus_Norway
G19007,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Eudicronychini,NA,Eudicronychus_rufus,NA,NA,NA,Zambia,Afrotropic,G19007_Elateridae_Elaterinae_Eudicronychini_Eudicronychus_rufus_Zambia
